Name,Contact_Number,Gender,Age ,10th_percentage,Tenthth_Board,12th_percentage,12th_board,12th_field,Degree_Field,Degree_Percentage,History_Of_Backlogs,English_Test_Percentage,Department_Applied_To,MBA_Grade,Work_Experience,Salary_expectations_per_month
SMITH,7442746909,M,24,67,Others,91,Others,Commerce,MBA,58,1,55,Mkt&HR,58.8,0,3
JOHNSON,6824882589,M,26,79.33,Central,78.33,Others,Commerce,MBA,77.48,1,86.5,Mkt&Fin,66.28,1,2
WILLIAMS,7334077198,M,24,65,Central,68,Central,Commerce,MBA,64,0,75,Mkt&Fin,57.8,0,2
JONES,8938723485,M,24,56,Central,52,Central,Science,MBA,52,1,66,Mkt&HR,59.43,0,5
BROWN,7285735463,M,24,85.8,Central,73.6,Central,Commerce,MBA,73.3,0,96.8,Mkt&Fin,55.5,0,1
DAVIS,8967859376,M,24,55,Others,49.8,Others,Commerce,MBA,67.25,0,55,Mkt&Fin,51.58,0,2
MILLER,8785090209,F,22,46,Others,49.2,Others,Commerce,BBA,79,1,74.28,Mkt&Fin,,1,1
WILSON,6993480874,M,22,82,Central,64,Central,Science,BTECH,66,0,67,Teaching,62.14,0,4
MOORE,6892151725,M,22,73,Central,79,Central,Science,BTECH,72,0,91.34,Teaching,61.29,1,3
TAYLOR,6913825763,M,21,58,Central,70,Central,Science,BTECH,61,0,54,Teaching,52.21,1,4
ANDERSON,9391192577,M,26,58,Central,61,Central,Commerce,MBA,60,0,62,Mkt&HR,60.85,1,5
THOMAS,7787897381,M,21,69.6,Central,68.4,Central,Science,BTECH,78.3,1,60,Teaching,63.7,0,5
JACKSON,9216570625,F,24,47,Central,55,Others,Science,MBA,65,1,62,Mkt&HR,65.04,0,5
WHITE,6747916904,F,21,77,Central,87,Central,Science,BTECH,59,1,68,Teaching,68.63,0,3
HARRIS,8970180135,M,26,62,Central,47,Central,Commerce,MBA,50,0,76,Mkt&HR,54.96,1,2
MARTIN,8274591335,F,22,65,Central,75,Central,Science,BTECH,69,0,72,Teaching,64.66,1,3
THOMPSON,8243305757,M,21,63,Central,66.2,Central,Science,BTECH,65.6,0,60,Teaching,62.54,1,2
GARCIA,8222093958,F,21,55,Central,67,Central,Science,BTECH,64,0,60,Teaching,67.28,0,4
MARTINEZ,8999028080,F,27,63,Central,66,Central,Commerce,MBA,64,0,68,Mkt&HR,64.08,2,2
ROBINSON,7830739357,M,21,60,Others,67,Others,Science,BTECH,70,0,50.48,Teaching,77.89,1,2
CLARK,6510407296, ,26,62,Others,65,Others,Commerce,MBA,66,0,50,Mkt&HR,56.7,1,5
RODRIGUEZ,7672702192,F,21,79,Others,76,Others,Science,BTECH,85,0,95,Teaching,69.06,2,2
LEWIS,9301622843,F,26,69.8,Others,60.8,Others,Science,MBA,72.23,0,55.53,Mkt&HR,68.81,1,5
LEE,8284539132,F,22,77.4,Others,60,Others,Science,BTECH,64.74,1,92,Teaching,63.62,0,3
WALKER,9323003994,M,22,76.5,Others,97.7,Others,Science,BTECH,78.86,0,97.4,Teaching,74.01,0,3
HALL,7637392396,F,21,52.58,Others,54.6,Central,Science,BTECH,50.2,0,76,Teaching,65.33,2,1
ALLEN,7575168485,M,21,71,Others,79,Others,Science,BTECH,66,0,94,Teaching,57.55,0,2
YOUNG,8376587710,M,24,63,Others,67,Others,Commerce,MBA,66,0,68,Mkt&HR,57.69,0,3
HERNANDEZ,8783385378,M,21,76.76,Others,76.5,Others,Science,BTECH,67.5,0,73.35,Teaching,64.15,0,2
KING,8842006179,M,22,62,Central,67,Central,Science,BTECH,58,0,77,Teaching,51.29,1,1
WRIGHT,9196544974,F,24,64,Central,73.5,Central,Commerce,MBA,73,0,52,Mkt&HR,56.7,0,2
LOPEZ,7397306189,F,26,67,Central,53,Central,Science,MBA,65,0,64,Mkt&HR,58.32,1,2
HILL,8051813762,F,24,61,Central,81,Central,Commerce,MBA,66.4,0,50.89,Mkt&HR,62.21,0,1
SCOTT,9204485512,F,21,87,Others,65,Others,Science,BTECH,81,0,88,Teaching,72.78,1,3
GREEN,6734210178,M,24,62,Others,51,Others,Science,MBA,52,0,68.44,Mkt&HR,62.77,0,4
ADAMS,7400289670,F,24,69,Central,78,Central,Commerce,MBA,72,0,71,Mkt&HR,62.74,0,5
BAKER,6375206088,M,21,51,Central,44,Central,Science,BTECH,57,0,64,Teaching,51.45,1,3
GONZALEZ,6592148291,F,24,79,Central,76,Central,Science,MBA,65.6,0,58,Mkt&HR,55.47,0,5
NELSON,7398013324,F,27,73,Others,58,Others,Science,MBA,66,0,53.7,Mkt&HR,56.86,2,1
CARTER,9439606604,M,21,81,Others,68,Others,Science,BTECH,64,1,93,Teaching,62.56,0,1
MITCHELL,8185552285,F,22,78,Central,77,Others,Science,BTECH,80,1,60,Teaching,66.72,1,4
PEREZ,9349018346,F,24,74,Others,63.16,Others,Commerce,MBA,65,0,65,Mkt&HR,69.76,0,3
ROBERTS,7332185094,M,21,49,Others,39,Central,Science,BTECH,65,1,63,Teaching,51.21,1,3
TURNER,6791360871,M,24,87,Others,87,Others,Commerce,MBA,68,0,95,Mkt&HR,62.9,0,1
PHILLIPS,8880878948,F,21,77,Others,73,Others,Science,BTECH,81,0,89,Teaching,69.7,2,5
CAMPBELL,7957863345,F,26,76,Central,64,Central,Science,MBA,72,0,58,Mkt&HR,66.53,1,4
PARKER,8438752120,F,24,70.89,Others,71.98,Others,Science,MBA,65.6,0,68,Mkt&HR,71.63,0,4
EVANS,8433097167,M,22,63,Central,60,Central,Science,BTECH,57,1,78,Teaching,54.55,2,4
EDWARDS,9163378067,M,22,63,Others,62,Others,Science,BTECH,68,0,64,Teaching,62.46,0,1
COLLINS,9560760796,F,26,50,Others,37,Others,Arts,MBA,52,0,65,Mkt&HR,56.11,1,2
STEWART,6578511750,F,26,75.2,Central,73.2,Central,Science,MBA,68.4,0,65,Mkt&HR,62.98,1,3
SANCHEZ,7099593866,M,24,54.4,Central,61.12,Central,Commerce,MBA,56.2,0,67,Mkt&HR,62.65,0,2
MORRIS,7353787429,F,26,40.89,Others,45.83,Others,Commerce,MBA,53,0,71.2,Mkt&HR,65.49,1,3
ROGERS,6573532003,M,27,80,Others,70,Others,Science,MBA,72,1,87,Mkt&HR,71.04,3,2
REED,8935614736,F,26,74,Central,60,Others,Science,MBA,69,0,78,Mkt&HR,65.56,1,4
